id,question,answer,page_ref,is_paper_2
38,What can affect the strength of ionic bonding in giant ionic structures?,The <b>charges</b> of the ions in the lattice affect the strength: <br><br>A lattice of 2+ and 2- ions will be held together by stronger forces of attraction than a lattice of 1+ and 1- ions.,11,1
39,Give an example of a typical giant ionic structure,Sodium chloride,11,1
40,What is covalent bonding?,Atoms <b>share</b> electrons with other atoms so that <b>both</b> atoms have a <b>full outer shell</b>. <br><br>Each covalent bond provides one extra shared electron for each atom. Each atom involved has to make enough covalent bonds to fill its outer shell.],12,0
41,Describe the attraction between electrons in covalent bonding,There's a <b>strong attraction</b> between the <b>shared electrons</b> and the <b>nuclei</b> of atoms involved,12,0
42,Name examples of compounds that bond covalently,&bull; <b>HCl</b> (Hydrogen Chloride) <br>&bull; <b>NH3</b> (Ammonia) <br>&bull; <b>H2O</b> (Water) <br>&bull; <b>O2</b> (Oxygen) <br>&bull; <b>CO2</b> (Carbon Dioxide) <br>&bull; Alkanes and alkenes (such as <b>methane</b> (CH4) and <b>ethene</b> (C2H4)),13,0
43,Describe <b>simple molecular</b> (covalent) substances,"&bull; Atoms <b>within a molecule</b> are held together by very <b>strong covalent</b> bonds <br>&bull; By contrast, forces of attraction <b>between the molecules</b> are very <b>weak</b> <br>&bull; The weak <b>intermolecular forces</b> mean that melting and boiling points are <b>very low</b> <br>&bull; This is why most molecular substances are gases or liquids at room temperature",14,0
44,Describe <b>giant covalent</b> structures,&bull; They are similar to giant ionic structures but with no charged ions <br>&bull; Atoms are bonded to each other by <b>strong covalent</b> bonds <br>&bull; It takes a <b>lot of energy</b> to break them <br>&bull; This gives giant covalent structures <b>very high</b> melting and boiling points <br>&bull; They <b>never conduct electricity</b> (except graphite) and they're usually <b>insoluble</b> in water,14,0
45,Give <b>two</b> examples of giant covalent structures,&bull; Diamond <br>&bull; Graphite,14,1
46,Describe the structure of diamond,&bull; Each carbon atom forms <b>4 covalent bonds</b> in a <b>very rigid</b> covalent structure <br>&bull; This makes it the <b>hardest</b> natural substance (so it's used for drill tips and cutting tools),14,1
47,Describe the structure of graphite,&bull; Each carbon atom forms only <b>3 covalent bonds</b> <br>&bull; This results in <b>free electrons</b> so graphite is the only non-metal which is a good <b>conductor of electricity</b> <br>&bull; There are also <b>layers</b> that can slide over each other (so graphite can be used as a lubricant) ,14,1
48,What are the four state symbols and what do they mean?,&bull; <b>s</b> = solid <br>&bull; <b>l</b> = liquid <br>&bull; <b>g</b> = gas <br>&bull; <b>aq</b> = aqueous (dissolved in water),16,0
49,Define <b>isotope</b>,"Different atomic forms of the <b>same element</b>, which have the <b>same</b> number of <b>protons</b> but <b>different</b> numbers of <b>neutrons</b>.",17,0
50,What are the (two) isotopes of <b>carbon</b>?,<b>Carbon-12</b><br>6 protons<br>6 electrons<br>6 neutrons<br><br><b>Carbon-14</b><br>6 protons<br>6 electrons<br>8 neutrons,17,0
51,What is <b>relative atomic mass</b>?,"How <b>heavy</b> different atoms are (compared to the mass of carbon-12). <br><br>It's the <b>average</b> mass of all the <b>isotopes</b> of an element, allowing for the <b>relative mass</b> of each isotope and its <b>relative abundance</b> (how much of it there is compared to the other isotopes).",17,0
52,What is <b>relative formula mass</b>?,The relative <em>atomic</em> masses of the atoms a compound contains <b>added together</b>.,18,0
53,What is an <b>empirical formula</b>?,The <b>simplest</b> formula that tells you the <b>ratio</b> of different elements in a compound,19,0
54,What are the steps to calculate the empirical formula of a substance?,#see-guide,19,0
55,What are the steps to calculate masses in reactions?,#see-guide,20,0
56,Define <b>percentage yield</b> (and how do you calculate it?),"A comparison of <b>actual</b> and <b>theoretical</b> yield <br><br>In other words, <br><i>actual yield</i> &divide; <i>theoretical yield</i> &times; 100",20,1
57,What is <i>6.023 &times; 10<sup>23</sup></i> and what does it mean?,<b>Avogadro's number</b> (or the Avogadro constant) <br><br>A mole can be thought of as the <b>Avogadro number of particles</b> in a substance.,21,1
58,What is the <b>Avogadro constant</b>?,6.023 &times; 10<sup>23</sup>,21,1
59,What is a <b>mole</b>?,"<b>One mole</b> of atoms or molecules of any substance will have <b>a mass in grams</b> equal to the <b>relative formula mass</b> for that substance. For example...<br><br>&bull;Carbon's A<sub>r</sub> is 12, so one mole of carbon weighs exactly 12g <br>&bull; Carbon dioxide has an M<sub>r</sub> of 44, so one mole of CO<sub>2</sub> weighs exactly 44g.",21,0
60,How can you calculate the number of moles of a substance?,No. of moles = Mass (in g) &divide; M<sub>r</sub>,21,0
61,Define <b>hydrous</b> and <b>anhydrous</b>,"A solid salt containing <b>water of crystallisation</b> is <b>hydrated</b>. <br><br>If a salt <em>doesn't</em> contain any water of crystallisation, it's called <b>anhydrous</b>.",22,0
62,What are the steps to calculate <b>water of crystallisation</b>?,#see-guide,22,0
63,What is <b>Avogadro's Law</b>?,"<b>One mole</b> of <b>any gas</b> always occupies <b>24 dm<sup>3</sup></b> (24,000 cm<sup>3</sup>) at room temperature and pressure (<b>RTP</b>: 25 &deg;C and 1 atmosphere)",23,1
64,How can you calculate <b>molar volume</b>?,Volume (dm<sup>3</sup>) = moles of gas &times; 24 <br><br>So... <br><br>Volume = (mass of gas &divide' its M<sub>r</sub>) &times; 24,23,1
65,What steps can you use to calculate volumes in reactions?,#see-guide,23,1
66,Define <b>concentration</b>,"The <b>'amount of stuff'</b> per unit volume (in a particular amount of space). <br><br>In Chemistry, it's usually measured in <b>moles per dm<sup>3</sup> (i.e. moles per litre). Sometimes, it's also measured in grams per dm<sup>3</sup>.",24,0
67,Which formula can you use to work out <b>concentration</b>?,"Concentration = no. of moles &divide; volume <br><br><i>Concentration is measured in mol/dm<sup>3</sup>, <br>and volume in dm<sup>3</sup>",24,0
68,An electric current is...,The <b>flow</b> of <b>electrons</b> or <b>ions</b>,25,0
69,Ionic compounds only conduct electricity when...,<b>Molten</b> or in a <b>solution</b>,25,0
70,Why can't <em>solid</em> ionic compounds conduct electricity?,"<b>Solid</b> ionic compounds <b>don't</b> conduct electricity because the ions <b>aren't</b> free to move around. <br><br>When an ionic compound is <b>dissolved</b> the ions separate and are <b>free to move</b> in the <b>solution</b>, so they'll carry <b>electric current</b> and so <b>conduct electricity</b>. <br>Similarly, when an ionic compound <b>melts</b>, the ions are also free to move and will carry electric current.",25,0
71,Do covalent compounds conduct electricity (and why)?,"Covalent compounds <b>don't contain ions</b> because they make bonds by sharing electrons. This means that they don't have any charge carriers that are free to move, so they <b>can't</b> carry an <b>electric current</b>.",25,0
72,Which type of bonding occurs in metals?,Metallic bonding,25,0
73,Describe <b>metallic bonding</b>,"Metals have a <b>giant structure</b> of <b>positive ions</b> surrounded by a <b>sea of delocalised (free) electrons</b>. <br><br>The <b>attraction</b> between positive ions and the electrons is called <b>metallic bonding</b>, and it's this bonding which gives metals their <b>properties</b>.",25,0
74,Metals are good conductors of...,Electricity and heat<br><br>...because <b>free electrons</b> carry electrical current and heat energy through the material (because of metallic bonding).,25,0
75,Why are metals <b>malleable</b>?,"The layers of atoms in a metal can <b>slide</b> over each other, making metals <b>malleable</b> - this means that they can be hammered or rolled into flat sheets.",25,0
76,Define <b>electrolysis</b>,"Passing an <b>electric current</b> through an <b>ionic substance</b> that's <b>molten</b> or in <b>solution</b>, which causes it to break down into <b>new substances</b>.",26,0
77,Define <b>electrolyte</b>,"A <b>liquid</b> that <b>conducts electricity</b>, used in electrolysis. <br><br>They are made by <b>melting</b> or <b>dissolving ionic compounds</b> (either way, <b>free ions</b> help conduct electricity).",26,0
78,How is the circuit complete in electrolysis?,"For the circuit to be complete, there's got to be a <b>flow of electrons</b>. Electrons are taken <b>away</b> from ions at an <b>anode</b> (positive electrode), and <b>given</b> to other ions at a <b>cathode</b> (negative electrode). As atoms gain or lose electrons, they become <b>atoms</b> or <b>molecules</b>.",26,0
79,How can you determine whether a substance conducts electricity?,"Place a <b>conductivity probe</b> into it. When you place it into a <b>non-electrolyte</b>, <b>no current</b> flows, so if the reading is above 0, you know the substance conducts electricity. <br><br>Alternatively, you can see if a substance will <b>undergo electrolysis</b>.",26,0
80,Why can <b>molten</b> ionic compounds be electrolysed?,The ions can <b>move freely</b>,26,0
81,Cations are...,<b>Positive</b> (charge),26,0
82,Anions are...,<b>Negative</b>,26,0
83,Cations (positive charge) are attracted to the...,<b>Cathode</b> (negative charge),26,0
84,Anodes (negative charge) are attracted to the...,<b>Anode</b> (positive charge),26,0
85,What are the two half equations in the electrolysis of <b>molten lead bromide</b>?,<b>At the cathode (-ve)</b>: <br>Pb<sup>2+</sup> + 2e<sup>-</sup> &rarr; Pb <br><br><b>At the anode (+ve)</b>: <br>2Br<sup>-</sup> &rarr; Br<sub>2</sub> + 2e<sup>-</sup>,26,0
86,What two (additional) ions are always present in <b>aqueous</b>?,<b>Hydrogen</b> ions and <b>hydroxide</b> ions <br><br>H<sup>+</sup> and OH<sup>-</sup> ions,27,1
87,Give three examples of <b>aqueous</b> solutions that undergo <b>electrolysis</b>?,&bull; Sulfuric acid solution <br>&bull; Sodium chloride solution <br>&bull; Copper(II) sulfate solution,27,1
88,"In electrolysis of aqueous solutions, what can be produced at the <b>cathode</b>?","<b>Hydrogen gas</b> will be produced if the metal ions are <b>more reactive</b> than the H<sup>+</sup> ions (e.g. sodium ions)<br><br>If the metal ions are <b>less reactive</b> than the H<sup>+</sup> ions (e.g. copper ions), a solid layer of <b>pure metal</b> will be produced instead",27,1
89,What can be produced at the <b>anode</b> in electrolysis of aqueous solutions?,"If <b>OH<sup>-</sup> and halide ions</b> (Cl<sup>-</sup>, Br<sup>-</sup>, I<sup>-</sup>) are present, molecules of chlorine, bromine or iodine will be formed. <br><br>Otherwise, <b>oxygen</b> will be formed",27,1
90,How can the <b>amount of product</b> made by electrolysis be increased?,"So an <b>increase</b> in the number of electrons means an <b>increase</b> in the amount of substance produced. Specifically, this can be achieved by: <br>&bull; electrolysing for a <b>longer time</b> <br>&bull; increasing the <b>current</b>",28,1
91,"In electrolysis, <b>one amp</b> flowing for <b>one second</b> means...",A charge of <b>one coulomb</b> has moved,28,1
92,How can you measure the amount of <b>charge</b> flowing through a circuit (in electrolysis)?,Amount of charge = current &times; time <br><br>Q = I t,28,1
93,How much is <b>one faraday</b>?,"96,000 coulombs",28,1
94,How much charge does <b>one mole</b> of ions need to make <b>one mole</b> of atoms?,"<b>One mole</b> of ions will need <b>'n'</b> moles of electrons (e.g. 1 for Na<sup>+</sup>, 2 for Zn<sup>2+</sup>, 3 for Al<sup>3+</sup>) to make <b>one mole</b> of atoms. <br><br>Remember that <b>one mole of electrons</b> is <b>one faraday</b>.",28,1
95,What steps can you use to calculate the mass of a product electrolysed using current and time?,#see-guide,28,1
