id,question,answer,page_ref,is_paper_2
30,What are some <b>advantages</b> of using <b>fossil fuels</b>?,"&bull; It's <b>reliable</b> (e.g. doesn't rely on the weather like most renewable energy sources) <br>&bull; Burning fossil fuels releases a lot of energy, <b>quite cheaply</b> <br>&bull; There are already a lot of fossil fuel power stations, so there is no need to spend extra money on new technology to use them",53,1
31,What are some <b>disadvantages</b> of using <b>fossil fuels</b>?,&bull; All fossil fuels <b>release carbon dioxide</b> which contributes to global warming <br>&bull; Burning coal and oil <b>releases sulfur dioxide</b> which can cause acid rain (which would impact wildlife) <br>&bull; <b>They will eventually run out</b>,53,1
32,How is a nuclear power station different to a fossil fuel power station?,Nuclear power stations use nuclear fission to produce heat whereas fossil fuel power stations burn the fuel,54,0
33,What are the energy transfers in a nuclear power station with a diagram,Nuclear &rarr; Heat &rarr; Kinetic &rarr; Electrical,54,0
34,What are some <b>advantages</b> of <b>nuclear power</b>?,&bull; <b>No greenhouse gases</b> are produced <br>&bull; There is still a lot of uranium left in the ground,54,1
35,What are some <b>disadvantages</b> of <b>nuclear power</b>?,"&bull; <b>Expensive</b> to build and maintain <br>&bull; Processing the uranium before using it causes pollution <br>&bull; <b>Risks of catastrophes</b> like at Chernobyl <br>&bull; Radioactive waste <br>&bull; When the power stations get too old or inefficient, they need to be shut down safely (<b>decommissioned</b>) which is also <b>expensive</b>",54,1
36,What are some <b>advantages</b> of <b>wind power</b>?,&bull; Quite <b>cheap</b> to run (wind is free) <br>&bull; They <b>don't produce polluting waste</b> <br>&bull; They're <b>renewable</b>,54,1
37,What are some <b>disadvantages</b> of <b>wind power</b>?,"&bull; They can spoil the view - especially when around <b>1500 are needed to replace one coal power station</b> <br>&bull; They can be <b>noisy</b> <br>&bull; Sometimes, the <b>wind isn't strong enough</b> to generate much power <br>&bull; Initially, they are <b>expensive to set up</b> (especially at sea)",54,1
38,Describe <em>geothermal energy</b>,"In places where hot rocks lie near to the surface, <b>water is pumped</b> in pipes down to those rocks and forced back up (due to pressure), which drives a generator <br><br><i>(Heat energy &rarr; Kinetic &rarr; Electrical)</i>",54,0
39,What are some <b>advantages</b> of <b>geothermal energy</b>?,"&bull; It's a free, <b>renewable</b> source of energy with <b>no environmental problems</b>",54,1
40,What are some <b>disadvantages</b> of <b>geothermal energy</b>?,&bull; <b>Expensive</b> to drill down several kilometers <br>&bull; <b>High costs</b> to build a power plant compared to the amount of energy we can get from it <br>&bull; It is only <b>possible in very few places</b>,54,1
41,What are some <b>advantages</b> of <b>solar power</b>?,&bull; <b>Renewable</b> energy source <br>&bull; They're a good way to power things that don't use much energy (like calculators),55,1
42,What are some <b>disadvantages</b> of <b>solar power</b>?,&bull; <b>Expensive</b> initially <br>&bull; They can only generate enough electricity if they have enough sunlight - they are <b>dependent on sunlight</b> <br>&bull; It's often impractical or too expensive to connect them to the National Grid,55,1
43,What are some <b>advantages</b> of <b>wave power</b>?,&bull; No pollution <br>&bull; Renewable <br>&bull; Minimal running costs,55,1
44,What are some <b>disadvantages</b> of <b>wave power</b>?,&bull; It can be a <b>hazard to boats</b> <br>&bull; Fairly <b>unreliable</b> <br>&bull; <b>High costs</b> initially,55,1
45,What are some <b>advantages</b> of <b>tidal barrages</b>?,&bull; No pollution <br>&bull; Renewable <br>&bull; Minimal running costs <br>&bull; Quite reliable,56,1
46,What are some <b>disadvantages</b> of <b>tidal barrages</b>?,"&bull; They can prevent free access by boats <br>&bull; They can also alter the habitat of wildlife <br>&bull; Like wind turbines, they can spoil the view",56,1
47,What are some <b>advantages</b> of <b>hydroelectricity</b>?,&bull; No pollution <br>&bull;Renewable <br>&bull; Minimal running costs <br>&bull; There can be an immediate response to increased demand <br>&bull; Quite reliable (except when there are droughts),56,1
48,What are some <b>disadvantages</b> of <b>hydroelectricity</b>?,&bull; <b>Big impact on the environment</b> (from flooding the valley - rotting vegetation releases methane and carbon dioxide) &bull; Loss of habitat for some species <br>&bull; High initial <b>costs</b> <br>&bull; They can <b>spoil the view</b> (especially when reservoirs dry up),56,1
49,How does <b>pumped storage</b> give extra supply in hydroelectric dams?,"At night (as the demand during the night is low), surplus electricity is used to pump the water back up the reservoir (to the upper reservoir). This water can be released quickly during periods of peak demand.",56,0
50,List examples of renewable energy sources,&bull; Wind power <br>&bull;Geothermal energy <br>&bull; Solar power <br>&bull; Wave power <br>&bull; Tidal barrages <br>&bull; Hydroelectric power,54,0
